 ===================== NEURON LEVEL 0 ===================== 
 ----------------------- layer0_n0 ----------------------- 
75                        -> 75                       :     01001011 = 75    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
2                         -> 2                        :     00000010 = 2     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
4                         -> 4                        :     00000100 = 4     
5                         -> 5                        :     00000101 = 5     
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
4                         -> 4                        :     00000100 = 4     
9                         -> 9                        :     00001001 = 9     
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
4                         -> 4                        :     00000100 = 4     
6                         -> 6                        :     00000110 = 6     
13                        -> 13                       :     00001101 = 13    
0.005901905               -> 0.005901905              :     00000000 = 0     

 ===================== NEURON LEVEL 0 ===================== 
 ----------------------- layer0_n10 ----------------------- 
-35                       -> -35                      :     11011101 = -35   
-37                       -> -37                      :     11011011 = -37   
-4                        -> -4                       :     11111100 = -4    
2                         -> 2                        :     00000010 = 2     
-8                        -> -8                       :     11111000 = -8    
-4                        -> -4                       :     11111100 = -4    
-4                        -> -4                       :     11111100 = -4    
-2                        -> -2                       :     11111110 = -2    
-12                       -> -12                      :     11110100 = -12   
14                        -> 14                       :     00001110 = 14    
199                       -> 199                      :     01111111 = 127   
3                         -> 3                        :     00000011 = 3     
-5                        -> -5                       :     11111011 = -5    
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
2                         -> 2                        :     00000010 = 2     
-18                       -> -18                      :     11101110 = -18   
6                         -> 6                        :     00000110 = 6     
0                         -> 0                        :     00000000 = 0     
-16                       -> -16                      :     11110000 = -16   
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
-14                       -> -14                      :     11110010 = -14   
-6                        -> -6                       :     11111010 = -6    
-5                        -> -5                       :     11111011 = -5    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
4                         -> 4                        :     00000100 = 4     
-5                        -> -5                       :     11111011 = -5    
-4                        -> -4                       :     11111100 = -4    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
4                         -> 4                        :     00000100 = 4     
4                         -> 4                        :     00000100 = 4     
4                         -> 4                        :     00000100 = 4     
-4                        -> -4                       :     11111100 = -4    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
4                         -> 4                        :     00000100 = 4     
6                         -> 6                        :     00000110 = 6     
8                         -> 8                        :     00001000 = 8     
11                        -> 11                       :     00001011 = 11    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
4                         -> 4                        :     00000100 = 4     
4                         -> 4                        :     00000100 = 4     
8                         -> 8                        :     00001000 = 8     
14                        -> 14                       :     00001110 = 14    
11                        -> 11                       :     00001011 = 11    
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
5                         -> 5                        :     00000101 = 5     
6                         -> 6                        :     00000110 = 6     
7                         -> 7                        :     00000111 = 7     
9                         -> 9                        :     00001001 = 9     
8                         -> 8                        :     00001000 = 8     
7                         -> 7                        :     00000111 = 7     
0.0017023155              -> 0.0017023155             :     00000000 = 0     

 ===================== NEURON LEVEL 1 ===================== 
 ----------------------- layer0_n11 ----------------------- 
6                         -> 6                        :     00000110 = 6     
2                         -> 2                        :     00000010 = 2     
-11                       -> -11                      :     11110101 = -11   
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-5                        -> -5                       :     11111011 = -5    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
1                         -> 1                        :     00000001 = 1     
238                       -> 238                      :     01111111 = 127   
2                         -> 2                        :     00000010 = 2     
-4                        -> -4                       :     11111100 = -4    
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-4                        -> -4                       :     11111100 = -4    
-4                        -> -4                       :     11111100 = -4    
2                         -> 2                        :     00000010 = 2     
-1                        -> -1                       :     11111111 = -1    
-5                        -> -5                       :     11111011 = -5    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
4                         -> 4                        :     00000100 = 4     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
5                         -> 5                        :     00000101 = 5     
3                         -> 3                        :     00000011 = 3     
4                         -> 4                        :     00000100 = 4     
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
3                         -> 3                        :     00000011 = 3     
4                         -> 4                        :     00000100 = 4     
4                         -> 4                        :     00000100 = 4     
6                         -> 6                        :     00000110 = 6     
6                         -> 6                        :     00000110 = 6     
0.005380859               -> 0.005380859              :     00000000 = 0     

 ===================== NEURON LEVEL 2 ===================== 
 ----------------------- layer0_n12 ----------------------- 
3                         -> 3                        :     00000011 = 3     
-10                       -> -10                      :     11110110 = -10   
3                         -> 3                        :     00000011 = 3     
-38                       -> -38                      :     11011010 = -38   
-24                       -> -24                      :     11101000 = -24   
-8                        -> -8                       :     11111000 = -8    
-16                       -> -16                      :     11110000 = -16   
-22                       -> -22                      :     11101010 = -22   
-27                       -> -27                      :     11100101 = -27   
-12                       -> -12                      :     11110100 = -12   
-14                       -> -14                      :     11110010 = -14   
19                        -> 19                       :     00010011 = 19    
143                       -> 143                      :     01111111 = 127   
18                        -> 18                       :     00010010 = 18    
-16                       -> -16                      :     11110000 = -16   
-18                       -> -18                      :     11101110 = -18   
-16                       -> -16                      :     11110000 = -16   
-17                       -> -17                      :     11101111 = -17   
-13                       -> -13                      :     11110011 = -13   
8                         -> 8                        :     00001000 = 8     
6                         -> 6                        :     00000110 = 6     
-25                       -> -25                      :     11100111 = -25   
-8                        -> -8                       :     11111000 = -8    
-7                        -> -7                       :     11111001 = -7    
-16                       -> -16                      :     11110000 = -16   
2                         -> 2                        :     00000010 = 2     
-10                       -> -10                      :     11110110 = -10   
-5                        -> -5                       :     11111011 = -5    
5                         -> 5                        :     00000101 = 5     
2                         -> 2                        :     00000010 = 2     
-1                        -> -1                       :     11111111 = -1    
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
-9                        -> -9                       :     11110111 = -9    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
6                         -> 6                        :     00000110 = 6     
1                         -> 1                        :     00000001 = 1     
-3                        -> -3                       :     11111101 = -3    
-5                        -> -5                       :     11111011 = -5    
7                         -> 7                        :     00000111 = 7     
11                        -> 11                       :     00001011 = 11    
4                         -> 4                        :     00000100 = 4     
-1                        -> -1                       :     11111111 = -1    
8                         -> 8                        :     00001000 = 8     
13                        -> 13                       :     00001101 = 13    
7                         -> 7                        :     00000111 = 7     
11                        -> 11                       :     00001011 = 11    
10                        -> 10                       :     00001010 = 10    
11                        -> 11                       :     00001011 = 11    
9                         -> 9                        :     00001001 = 9     
18                        -> 18                       :     00010010 = 18    
18                        -> 18                       :     00010010 = 18    
12                        -> 12                       :     00001100 = 12    
16                        -> 16                       :     00010000 = 16    
21                        -> 21                       :     00010101 = 21    
18                        -> 18                       :     00010010 = 18    
14                        -> 14                       :     00001110 = 14    
6                         -> 6                        :     00000110 = 6     
22                        -> 22                       :     00010110 = 22    
18                        -> 18                       :     00010010 = 18    
19                        -> 19                       :     00010011 = 19    
20                        -> 20                       :     00010100 = 20    
22                        -> 22                       :     00010110 = 22    
0.068586275               -> 0.068586275              :     00000000 = 0     

 ===================== NEURON LEVEL 3 ===================== 
 ----------------------- layer0_n13 ----------------------- 
9                         -> 9                        :     00001001 = 9     
-7                        -> -7                       :     11111001 = -7    
-19                       -> -19                      :     11101101 = -19   
-8                        -> -8                       :     11111000 = -8    
-16                       -> -16                      :     11110000 = -16   
-15                       -> -15                      :     11110001 = -15   
-21                       -> -21                      :     11101011 = -21   
-4                        -> -4                       :     11111100 = -4    
-8                        -> -8                       :     11111000 = -8    
-6                        -> -6                       :     11111010 = -6    
-8                        -> -8                       :     11111000 = -8    
-19                       -> -19                      :     11101101 = -19   
9                         -> 9                        :     00001001 = 9     
158                       -> 158                      :     01111111 = 127   
-1                        -> -1                       :     11111111 = -1    
-25                       -> -25                      :     11100111 = -25   
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
-6                        -> -6                       :     11111010 = -6    
-17                       -> -17                      :     11101111 = -17   
13                        -> 13                       :     00001101 = 13    
-17                       -> -17                      :     11101111 = -17   
-22                       -> -22                      :     11101010 = -22   
13                        -> 13                       :     00001101 = 13    
11                        -> 11                       :     00001011 = 11    
3                         -> 3                        :     00000011 = 3     
-5                        -> -5                       :     11111011 = -5    
-4                        -> -4                       :     11111100 = -4    
-7                        -> -7                       :     11111001 = -7    
-4                        -> -4                       :     11111100 = -4    
-2                        -> -2                       :     11111110 = -2    
5                         -> 5                        :     00000101 = 5     
2                         -> 2                        :     00000010 = 2     
7                         -> 7                        :     00000111 = 7     
7                         -> 7                        :     00000111 = 7     
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-8                        -> -8                       :     11111000 = -8    
-12                       -> -12                      :     11110100 = -12   
22                        -> 22                       :     00010110 = 22    
20                        -> 20                       :     00010100 = 20    
4                         -> 4                        :     00000100 = 4     
7                         -> 7                        :     00000111 = 7     
5                         -> 5                        :     00000101 = 5     
3                         -> 3                        :     00000011 = 3     
-6                        -> -6                       :     11111010 = -6    
-7                        -> -7                       :     11111001 = -7    
21                        -> 21                       :     00010101 = 21    
22                        -> 22                       :     00010110 = 22    
24                        -> 24                       :     00011000 = 24    
14                        -> 14                       :     00001110 = 14    
5                         -> 5                        :     00000101 = 5     
7                         -> 7                        :     00000111 = 7     
5                         -> 5                        :     00000101 = 5     
9                         -> 9                        :     00001001 = 9     
18                        -> 18                       :     00010010 = 18    
16                        -> 16                       :     00010000 = 16    
35                        -> 35                       :     00100011 = 35    
22                        -> 22                       :     00010110 = 22    
14                        -> 14                       :     00001110 = 14    
7                         -> 7                        :     00000111 = 7     
12                        -> 12                       :     00001100 = 12    
-3                        -> -3                       :     11111101 = -3    
0.049449004               -> 0.049449004              :     00000000 = 0     

 ===================== NEURON LEVEL 4 ===================== 
 ----------------------- layer0_n14 ----------------------- 
14                        -> 14                       :     00001110 = 14    
-3                        -> -3                       :     11111101 = -3    
-4                        -> -4                       :     11111100 = -4    
-9                        -> -9                       :     11110111 = -9    
-8                        -> -8                       :     11111000 = -8    
-6                        -> -6                       :     11111010 = -6    
7                         -> 7                        :     00000111 = 7     
3                         -> 3                        :     00000011 = 3     
6                         -> 6                        :     00000110 = 6     
-1                        -> -1                       :     11111111 = -1    
-4                        -> -4                       :     11111100 = -4    
-6                        -> -6                       :     11111010 = -6    
-8                        -> -8                       :     11111000 = -8    
1                         -> 1                        :     00000001 = 1     
174                       -> 174                      :     01111111 = 127   
13                        -> 13                       :     00001101 = 13    
2                         -> 2                        :     00000010 = 2     
5                         -> 5                        :     00000101 = 5     
4                         -> 4                        :     00000100 = 4     
1                         -> 1                        :     00000001 = 1     
-8                        -> -8                       :     11111000 = -8    
-11                       -> -11                      :     11110101 = -11   
14                        -> 14                       :     00001110 = 14    
-14                       -> -14                      :     11110010 = -14   
6                         -> 6                        :     00000110 = 6     
3                         -> 3                        :     00000011 = 3     
4                         -> 4                        :     00000100 = 4     
-1                        -> -1                       :     11111111 = -1    
-2                        -> -2                       :     11111110 = -2    
-2                        -> -2                       :     11111110 = -2    
-16                       -> -16                      :     11110000 = -16   
5                         -> 5                        :     00000101 = 5     
4                         -> 4                        :     00000100 = 4     
10                        -> 10                       :     00001010 = 10    
3                         -> 3                        :     00000011 = 3     
5                         -> 5                        :     00000101 = 5     
0                         -> 0                        :     00000000 = 0     
-3                        -> -3                       :     11111101 = -3    
-3                        -> -3                       :     11111101 = -3    
-10                       -> -10                      :     11110110 = -10   
19                        -> 19                       :     00010011 = 19    
8                         -> 8                        :     00001000 = 8     
5                         -> 5                        :     00000101 = 5     
4                         -> 4                        :     00000100 = 4     
5                         -> 5                        :     00000101 = 5     
1                         -> 1                        :     00000001 = 1     
-7                        -> -7                       :     11111001 = -7    
-7                        -> -7                       :     11111001 = -7    
28                        -> 28                       :     00011100 = 28    
18                        -> 18                       :     00010010 = 18    
10                        -> 10                       :     00001010 = 10    
5                         -> 5                        :     00000101 = 5     
4                         -> 4                        :     00000100 = 4     
2                         -> 2                        :     00000010 = 2     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
18                        -> 18                       :     00010010 = 18    
23                        -> 23                       :     00010111 = 23    
15                        -> 15                       :     00001111 = 15    
10                        -> 10                       :     00001010 = 10    
7                         -> 7                        :     00000111 = 7     
4                         -> 4                        :     00000100 = 4     
5                         -> 5                        :     00000101 = 5     
6                         -> 6                        :     00000110 = 6     
0.010010049               -> 0.010010049              :     00000000 = 0     

 ===================== NEURON LEVEL 5 ===================== 
 ----------------------- layer0_n15 ----------------------- 
-3                        -> -3                       :     11111101 = -3    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-5                        -> -5                       :     11111011 = -5    
-8                        -> -8                       :     11111000 = -8    
-8                        -> -8                       :     11111000 = -8    
8                         -> 8                        :     00001000 = 8     
4                         -> 4                        :     00000100 = 4     
2                         -> 2                        :     00000010 = 2     
0                         -> 0                        :     00000000 = 0     
-3                        -> -3                       :     11111101 = -3    
-4                        -> -4                       :     11111100 = -4    
-4                        -> -4                       :     11111100 = -4    
4                         -> 4                        :     00000100 = 4     
194                       -> 194                      :     01111111 = 127   
4                         -> 4                        :     00000100 = 4     
3                         -> 3                        :     00000011 = 3     
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-5                        -> -5                       :     11111011 = -5    
-4                        -> -4                       :     11111100 = -4    
9                         -> 9                        :     00001001 = 9     
2                         -> 2                        :     00000010 = 2     
5                         -> 5                        :     00000101 = 5     
5                         -> 5                        :     00000101 = 5     
2                         -> 2                        :     00000010 = 2     
-1                        -> -1                       :     11111111 = -1    
-3                        -> -3                       :     11111101 = -3    
-4                        -> -4                       :     11111100 = -4    
-12                       -> -12                      :     11110100 = -12   
4                         -> 4                        :     00000100 = 4     
5                         -> 5                        :     00000101 = 5     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-4                        -> -4                       :     11111100 = -4    
-6                        -> -6                       :     11111010 = -6    
3                         -> 3                        :     00000011 = 3     
5                         -> 5                        :     00000101 = 5     
3                         -> 3                        :     00000011 = 3     
2                         -> 2                        :     00000010 = 2     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-4                        -> -4                       :     11111100 = -4    
-3                        -> -3                       :     11111101 = -3    
5                         -> 5                        :     00000101 = 5     
9                         -> 9                        :     00001001 = 9     
5                         -> 5                        :     00000101 = 5     
4                         -> 4                        :     00000100 = 4     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-4                        -> -4                       :     11111100 = -4    
0                         -> 0                        :     00000000 = 0     
9                         -> 9                        :     00001001 = 9     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
0.0065811533              -> 0.0065811533             :     00000000 = 0     

 ===================== NEURON LEVEL 6 ===================== 
 ----------------------- layer0_n16 ----------------------- 
12                        -> 12                       :     00001100 = 12    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
16                        -> 16                       :     00010000 = 16    
-2                        -> -2                       :     11111110 = -2    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
209                       -> 209                      :     01111111 = 127   
5                         -> 5                        :     00000101 = 5     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
12                        -> 12                       :     00001100 = 12    
-4                        -> -4                       :     11111100 = -4    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
0                         -> 0                        :     00000000 = 0     
-5                        -> -5                       :     11111011 = -5    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0                         -> 0                        :     00000000 = 0     
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
0.0046244934              -> 0.0046244934             :     00000000 = 0     

 ===================== NEURON LEVEL 7 ===================== 
 ----------------------- layer0_n17 ----------------------- 
10                        -> 10                       :     00001010 = 10    
-6                        -> -6                       :     11111010 = -6    
-4                        -> -4                       :     11111100 = -4    
-5                        -> -5                       :     11111011 = -5    
-2                        -> -2                       :     11111110 = -2    
1                         -> 1                        :     00000001 = 1     
2                         -> 2                        :     00000010 = 2     
3                         -> 3                        :     00000011 = 3     
-27                       -> -27                      :     11100101 = -27   
5                         -> 5                        :     00000101 = 5     
3                         -> 3                        :     00000011 = 3     
-4                        -> -4                       :     11111100 = -4    
-2                        -> -2                       :     11111110 = -2    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
4                         -> 4                        :     00000100 = 4     
25                        -> 25                       :     00011001 = 25    
206                       -> 206                      :     01111111 = 127   
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
1                         -> 1                        :     00000001 = 1     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
5                         -> 5                        :     00000101 = 5     
7                         -> 7                        :     00000111 = 7     
12                        -> 12                       :     00001100 = 12    
-8                        -> -8                       :     11111000 = -8    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
3                         -> 3                        :     00000011 = 3     
4                         -> 4                        :     00000100 = 4     
2                         -> 2                        :     00000010 = 2     
-4                        -> -4                       :     11111100 = -4    
-8                        -> -8                       :     11111000 = -8    
-3                        -> -3                       :     11111101 = -3    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
2                         -> 2                        :     00000010 = 2     
4                         -> 4                        :     00000100 = 4     
5                         -> 5                        :     00000101 = 5     
-4                        -> -4                       :     11111100 = -4    
-3                        -> -3                       :     11111101 = -3    
-2                        -> -2                       :     11111110 = -2    
-1                        -> -1                       :     11111111 = -1    
2                         -> 2                        :     00000010 = 2     
4                         -> 4                        :     00000100 = 4     
3                         -> 3                        :     00000011 = 3     
9                         -> 9                        :     00001001 = 9     
-4                        -> -4                       :     11111100 = -4    
-4                        -> -4                       :     11111100 = -4    
-1                        -> -1                       :     11111111 = -1    
0                         -> 0                        :     00000000 = 0     
3                         -> 3                        :     00000011 = 3     
3                         -> 3                        :     00000011 = 3     
7                         -> 7                        :     00000111 = 7     
7                         -> 7                        :     00000111 = 7     
-4                        -> -4                       :     11111100 = -4    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
3                         -> 3                        :     00000011 = 3     
5                         -> 5                        :     00000101 = 5     
10                        -> 10                       :     00001010 = 10    
16                        -> 16                       :     00010000 = 16    
0.006184489               -> 0.006184489              :     00000000 = 0     

 ===================== NEURON LEVEL 8 ===================== 
 ----------------------- layer0_n18 ----------------------- 
-6                        -> -6                       :     11111010 = -6    
-9                        -> -9                       :     11110111 = -9    
-6                        -> -6                       :     11111010 = -6    
-3                        -> -3                       :     11111101 = -3    
-5                        -> -5                       :     11111011 = -5    
-1                        -> -1                       :     11111111 = -1    
-1                        -> -1                       :     11111111 = -1    
1                         -> 1                        :     00000001 = 1     
-5                        -> -5                       :     11111011 = -5    
-22                       -> -22                      :     11101010 = -22   
-1                        -> -1                       :     11111111 = -1    
5                         -> 5                        :     00000101 = 5     
-3                        -> -3                       :     11111101 = -3    
